time	V(out)
Step Information: Run=1  (Run: 1/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.963471194873906e-04	6.024088e-06
4.963958764836474e-04	3.949949e-05
4.964220106932355e-04	7.777380e-05
4.964535020513339e-04	1.494157e-04
4.964875966939322e-04	2.705308e-04
4.965374904907529e-04	5.455074e-04
4.965993411445830e-04	1.073974e-03
4.966749386994599e-04	2.081396e-03
4.967696760797126e-04	4.043455e-03
4.968879497146411e-04	7.845211e-03
4.970371229984200e-04	1.528157e-02
4.972252765982857e-04	2.981550e-02
4.974660119309557e-04	5.856979e-02
4.977794132408445e-04	1.161684e-01
4.982093255012888e-04	2.350189e-01
4.989253071101895e-04	4.917389e-01
4.994268304435060e-04	6.784025e-01
4.999182275347665e-04	8.385954e-01
5.000000000000000e-04	8.595791e-01
5.001562225212124e-04	8.843119e-01
5.003645192161621e-04	9.061680e-01
5.007811126060618e-04	9.314483e-01
5.013145102836366e-04	9.470422e-01
5.019542039725560e-04	9.537776e-01
5.030406014382968e-04	9.569585e-01
5.031846852215767e-04	9.570646e-01
5.034728527881365e-04	9.570646e-01
5.038782474385150e-04	9.570646e-01
5.043689935844752e-04	9.570646e-01
5.049342614110943e-04	9.570646e-01
5.050904853033057e-04	9.570646e-01
5.051262821678268e-04	9.570646e-01
1.500000000000000e-03	9.570646e-01
1.510000000000000e-03	9.570646e-01
9.199612818401448e-03	9.570646e-01
9.990628443401432e-03	9.570646e-01
1.000000000000000e-02	9.570646e-01
Step Information: Run=2  (Run: 2/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.954353859843103e-04	7.488661e-06
4.955277130307092e-04	2.846710e-05
4.955727985096176e-04	6.526995e-05
4.956022100984295e-04	1.172223e-04
4.956341965567573e-04	2.131495e-04
4.956727675237795e-04	3.948549e-04
4.957223910858247e-04	7.587639e-04
4.957852086769870e-04	1.474548e-03
4.958622143549379e-04	2.840812e-03
4.959592931520644e-04	5.517583e-03
4.960798648657366e-04	1.068067e-02
4.962322247667272e-04	2.080227e-02
4.964237158209292e-04	4.051823e-02
4.966688370244959e-04	7.953238e-02
4.969872346103659e-04	1.573243e-01
4.974268769147107e-04	3.112525e-01
4.979072095906318e-04	5.212862e-01
4.982709063771427e-04	6.844218e-01
4.986408258097760e-04	8.148729e-01
4.990706507192288e-04	9.132962e-01
4.991521054442755e-04	9.240654e-01
4.993150148943689e-04	9.351187e-01
4.996408337945557e-04	9.473878e-01
4.998384079464418e-04	9.499297e-01
5.000000000000000e-04	9.500653e-01
5.000224497496334e-04	9.500653e-01
5.000673492489002e-04	9.500653e-01
5.001571482474338e-04	9.500653e-01
5.003367462445012e-04	9.500653e-01
5.005264531779867e-04	9.500653e-01
5.005878422424597e-04	9.500653e-01
5.006134287903520e-04	9.500653e-01
5.006178824814045e-04	9.500653e-01
1.500000000000000e-03	9.500653e-01
1.510000000000000e-03	9.500653e-01
9.265859374999845e-03	9.500653e-01
9.998281249999829e-03	9.500653e-01
1.000000000000000e-02	9.500653e-01
Step Information: Run=3  (Run: 3/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.967976624301051e-04	1.020302e-05
4.968337212016879e-04	3.479052e-05
4.968615815245496e-04	7.207884e-05
4.968939729495844e-04	1.393329e-04
4.969294488265494e-04	2.544642e-04
4.969785669357848e-04	5.026183e-04
4.970429715078609e-04	1.005932e-03
4.971184386954870e-04	1.926630e-03
4.972160511560937e-04	3.776744e-03
4.973347768087540e-04	7.271821e-03
4.974871702264728e-04	1.422913e-02
4.976759867722780e-04	2.759713e-02
4.979190594632628e-04	5.422855e-02
4.982294215285232e-04	1.066739e-01
4.986472309903523e-04	2.140996e-01
4.992677446441297e-04	4.308609e-01
4.998261936615105e-04	6.581499e-01
5.000000000000000e-04	7.312278e-01
5.000672541590824e-04	7.544442e-01
5.002017624772474e-04	7.971422e-01
5.002353895567887e-04	8.062135e-01
5.003026437158711e-04	8.199781e-01
5.004371520340360e-04	8.391073e-01
5.005227889663098e-04	8.453702e-01
