time	V(out)
Step Information: Run=1  (Run: 1/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.963471194873906e-04	6.024088e-06
4.963958764836473e-04	3.949949e-05
4.964220106932354e-04	7.777380e-05
4.964535020513338e-04	1.494157e-04
4.964875966939320e-04	2.705308e-04
4.965374904907527e-04	5.455074e-04
4.965993411445827e-04	1.073974e-03
4.966749386994595e-04	2.081396e-03
4.967696760797122e-04	4.043455e-03
4.968879497146404e-04	7.845211e-03
4.970371229984193e-04	1.528157e-02
4.972252765982848e-04	2.981550e-02
4.974660119309543e-04	5.856979e-02
4.977794132408426e-04	1.161684e-01
4.982093255012864e-04	2.350189e-01
4.989253071101836e-04	4.917389e-01
4.994268304434978e-04	6.784025e-01
4.999182275347544e-04	8.385954e-01
5.000000000000000e-04	8.595791e-01
5.001562225212125e-04	8.843119e-01
5.003645192161625e-04	9.061680e-01
5.007811126060623e-04	9.314483e-01
5.013145102836372e-04	9.470422e-01
5.019542039725573e-04	9.537776e-01
5.030406014382991e-04	9.569585e-01
5.031846852215783e-04	9.570646e-01
5.034728527881367e-04	9.570646e-01
5.038782474385155e-04	9.570646e-01
5.043689935844740e-04	9.570646e-01
5.049342614110951e-04	9.570646e-01
5.050904853033039e-04	9.570646e-01
5.051262821678242e-04	9.570646e-01
1.500000000000000e-03	9.570646e-01
1.510000000000000e-03	9.570646e-01
9.199612818425762e-03	9.570646e-01
9.990628443425745e-03	9.570646e-01
1.000000000000000e-02	9.570646e-01
Step Information: Run=2  (Run: 2/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.948387842923169e-04	4.948883e-15
4.955204185830104e-04	5.266650e-05
4.956786078236504e-04	1.907434e-04
4.957565828295990e-04	4.249256e-04
4.958118153189202e-04	7.701077e-04
4.958710899856627e-04	1.390724e-03
4.959459688155496e-04	2.617359e-03
4.960401035865847e-04	5.015164e-03
4.961607615056275e-04	9.787366e-03
4.963090543341964e-04	1.890503e-02
4.964991898830939e-04	3.702659e-02
4.967397102677462e-04	7.246692e-02
4.970577144771008e-04	1.443590e-01
4.974990888328824e-04	2.866810e-01
4.979606862901432e-04	4.728435e-01
4.983405679406057e-04	6.323610e-01
4.987392249133515e-04	7.691360e-01
4.991926504159343e-04	8.632091e-01
4.998402140128576e-04	9.293154e-01
5.000000000000000e-04	9.372678e-01
5.001930114581976e-04	9.395403e-01
5.004503600691276e-04	9.404916e-01
5.008692322063935e-04	9.407523e-01
5.012399448466617e-04	9.407523e-01
5.017031462738167e-04	9.407523e-01
5.020206197714086e-04	9.407523e-01
5.021229832591854e-04	9.407523e-01
5.021448433377975e-04	9.407523e-01
1.500000000000000e-03	9.407523e-01
1.510000000000000e-03	9.407523e-01
9.333037065329055e-03	9.407523e-01
9.997099565329041e-03	9.407523e-01
1.000000000000000e-02	9.407523e-01
Step Information: Run=3  (Run: 3/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.968202550767997e-04	8.637994e-06
4.968809164946985e-04	6.268489e-05
4.969113655299741e-04	1.199948e-04
4.969446976278403e-04	2.179173e-04
4.969924836628041e-04	4.359009e-04
4.970531229464708e-04	8.643352e-04
4.971258597678205e-04	1.666280e-03
4.972182056100189e-04	3.248510e-03
4.973321117283450e-04	6.278898e-03
4.974766573891572e-04	1.224417e-02
4.976571367075213e-04	2.379461e-02
4.978876254993912e-04	4.663203e-02
4.981825017055068e-04	9.173390e-02
4.985747927634408e-04	1.831234e-01
4.991404629217681e-04	3.545358e-01
4.992036071615603e-04	3.784495e-01
4.992877994812833e-04	4.114601e-01
4.993088475612141e-04	4.196914e-01
4.993509437210755e-04	4.356181e-01
4.994371493462064e-04	4.667527e-01
4.994559401966804e-04	4.726191e-01
4.994774154543649e-04	4.784140e-01
4.995203659697339e-04	4.874276e-01
4.995537042043621e-04	4.920909e-01
4.995620387630191e-04	4.926529e-01
4.995787078803331e-04	4.930130e-01
4.996120461149612e-04	4.932504e-01
4.996433338812391e-04	4.932886e-01
4.996603951157383e-04	4.932886e-01
