time	V(out)
Step Information: Run=1  (Run: 1/100)
4.959034111852629e-04	5.788255e-03
4.960284102749335e-04	1.134646e-02
4.961876487170906e-04	2.229888e-02
4.963971656106965e-04	4.452112e-02
4.966831885550796e-04	9.105815e-02
4.971315754007389e-04	1.931178e-01
4.975522779602349e-04	3.106344e-01
4.980047668409930e-04	4.429463e-01
4.985195998918276e-04	5.739717e-01
4.990743109859926e-04	6.772932e-01
4.997462368348177e-04	7.624852e-01
5.000000000000000e-04	7.858573e-01
5.002380311109907e-04	7.982007e-01
5.005554059256448e-04	8.085041e-01
5.011901555549531e-04	8.199307e-01
5.021166447496717e-04	8.279706e-01
5.034603588846840e-04	8.329955e-01
5.094459758310849e-04	8.387997e-01
5.455998182544672e-04	8.419228e-01
1.500000000000000e-03	8.426594e-01
1.510000000000000e-03	8.426594e-01
9.392812499999842e-03	8.426594e-01
9.998281249999829e-03	8.426594e-01
1.000000000000000e-02	8.426594e-01
Step Information: Run=5  (Run: 5/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.984305602660093e-04	1.000299e-05
4.985043741971565e-04	7.299768e-05
4.985420767715415e-04	1.411442e-04
4.985824640800879e-04	2.551232e-04
4.986426535822439e-04	5.184225e-04
4.987164991892169e-04	1.019177e-03
4.988084082776279e-04	1.989920e-03
4.989238383501291e-04	3.881730e-03
4.990716114685763e-04	7.630508e-03
4.992628345205301e-04	1.512638e-02
4.995187501249989e-04	3.059567e-02
4.998832646208092e-04	6.056040e-02
5.000000000000000e-04	7.222001e-02
5.000643110062951e-04	7.920086e-02
5.001929330188851e-04	9.244058e-02
5.004501770440653e-04	1.158755e-01
5.009646650944256e-04	1.542177e-01
5.017268840114056e-04	1.974746e-01
5.026075696908670e-04	2.331867e-01
5.037178289019248e-04	2.641532e-01
5.050832797559356e-04	2.898662e-01
5.069093096822460e-04	3.124419e-01
5.092479968044456e-04	3.309205e-01
5.124362439704508e-04	3.464807e-01
5.166773442504337e-04	3.588409e-01
5.226701290384227e-04	3.687289e-01
5.311597388178773e-04	3.765325e-01
5.506909888178774e-04	3.852139e-01
5.897534888178774e-04	3.914950e-01
7.069409888178775e-04	3.960599e-01
1.478425363817878e-03	3.987491e-01
1.500000000000000e-03	3.987645e-01
1.510000000000000e-03	3.987645e-01
9.304921874999844e-03	3.987645e-01
9.998281249999829e-03	3.987645e-01
1.000000000000000e-02	3.987645e-01
Step Information: Run=6  (Run: 6/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.971259385956633e-04	4.971756e-15
4.975403928904799e-04	1.109682e-05
4.976714875278216e-04	4.215673e-05
4.977286611276128e-04	8.930385e-05
4.977690055491940e-04	1.599367e-04
4.978124609143104e-04	2.879699e-04
4.978665433053894e-04	5.380022e-04
4.979352864471696e-04	1.032568e-03
4.980230030150334e-04	2.012809e-03
4.981315216330328e-04	3.897953e-03
4.982707847767141e-04	7.648132e-03
4.984484753739691e-04	1.505082e-02
4.986844572516574e-04	3.021584e-02
4.990104049169325e-04	6.245797e-02
4.995364818431215e-04	1.354556e-01
5.000000000000000e-04	2.137195e-01
5.000921538986561e-04	2.298494e-01
5.002764616959684e-04	2.587622e-01
5.006450772905930e-04	3.047144e-01
5.012557479324863e-04	3.595114e-01
5.019114658533407e-04	3.985217e-01
5.027750714438118e-04	4.307754e-01
5.037930531049850e-04	4.544647e-01
5.052625516902889e-04	4.750298e-01
5.071191503908083e-04	4.902948e-01
5.098593790571490e-04	5.030907e-01
5.129445064051958e-04	5.111995e-01
5.179943554165122e-04	5.182463e-01
5.260096325681748e-04	5.241621e-01
5.455408825681749e-04	5.299814e-01
6.431971325681749e-04	5.347538e-01
1.500000000000000e-03	5.366496e-01
1.510000000000000e-03	5.366496e-01
9.470937499999841e-03	5.366496e-01
9.998281249999829e-03	5.366496e-01
1.000000000000000e-02	5.366496e-01
Step Information: Run=7  (Run: 7/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
5.000000000000000e-04	5.000500e-15
1.500000000000000e-03	1.500150e-14
1.510000000000000e-03	1.510151e-14
9.617421874999837e-03	9.618384e-14
9.998281249999829e-03	9.999281e-14
1.000000000000000e-02	1.000100e-13
Step Information: Run=8  (Run: 8/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.968359375000001e-04	4.968856e-15
4.980733430513328e-04	8.021259e-05
4.986004785321833e-04	4.339977e-04
4.987973667835178e-04	1.042382e-03
4.989071856400217e-04	1.903828e-03
4.990263070744349e-04	3.560508e-03
4.991603051339454e-04	6.518197e-03
4.993515404017080e-04	1.304256e-02
4.995950956830581e-04	2.588102e-02
4.999657993764936e-04	5.186076e-02
5.000402095615956e-04	5.833883e-02
5.001206286847868e-04	6.530162e-02
5.002814669311693e-04	7.806711e-02
5.006031434239342e-04	9.976675e-02
5.012464964094639e-04	1.341321e-01
5.019505683790163e-04	1.619057e-01
5.029130816002561e-04	1.884312e-01
5.039890077422778e-04	2.088310e-01
5.055233188043112e-04	2.282152e-01
5.073610086392817e-04	2.434018e-01
5.099914465609911e-04	2.570714e-01
5.132857478553621e-04	2.676049e-01
5.181001610156579e-04	2.766913e-01
5.244564587493031e-04	2.835974e-01
5.340408573021381e-04	2.894470e-01
5.535721073021381e-04	2.950027e-01
6.024002323021381e-04	2.995747e-01
7.684158573021383e-04	3.027420e-01
1.500000000000000e-03	3.041719e-01
1.510000000000000e-03	3.041719e-01
9.529531249999839e-03	3.041719e-01
9.998281249999829e-03	3.041719e-01
1.000000000000000e-02	3.041719e-01
Step Information: Run=9  (Run: 9/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.980733431222518e-04	4.981231e-15
4.986005351466227e-04	4.711836e-05
4.988076354999559e-04	1.799504e-04
4.988953334936481e-04	3.637552e-04
4.989644022950210e-04	6.584346e-04
4.990374969165416e-04	1.175390e-03
4.991341604180087e-04	2.242775e-03
4.992531937510282e-04	4.285714e-03
4.994099935939100e-04	8.457528e-03
4.996055678606581e-04	1.652112e-02
4.998693374616473e-04	3.175444e-02
5.000000000000000e-04	4.112076e-02
5.001082839064274e-04	5.002952e-02
5.002526624483306e-04	6.125236e-02
5.005414195321371e-04	8.160066e-02
5.011189336997501e-04	1.157165e-01
5.022184077513259e-04	1.666097e-01
5.032718628964881e-04	2.021740e-01
5.048214397598382e-04	2.381630e-01
5.064652657056108e-04	2.641295e-01
5.088462598374758e-04	2.885936e-01
5.115744704721064e-04	3.064490e-01
5.156542292038803e-04	3.228387e-01
5.203412375240277e-04	3.342563e-01
5.277714759801782e-04	3.445404e-01
5.375371009801783e-04	3.524372e-01
5.570683509801783e-04	3.604763e-01
5.961308509801783e-04	3.667551e-01
7.035527259801784e-04	3.714299e-01
1.250427725980179e-03	3.743506e-01
1.500000000000000e-03	3.746155e-01
1.510000000000000e-03	3.739201e-01
9.509999999999840e-03	3.739201e-01
9.998281249999829e-03	3.739201e-01
1.000000000000000e-02	3.739201e-01
Step Information: Run=10  (Run: 10/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.968359375000001e-04	4.968856e-15
4.980733413116493e-04	1.314598e-03
4.986004644403672e-04	5.155925e-03
4.988543803544628e-04	1.099148e-02
4.990880420002367e-04	2.147839e-02
4.993076368170131e-04	3.766268e-02
4.996534608228709e-04	7.579792e-02
5.000000000000000e-04	1.248049e-01
5.001319384012503e-04	1.474212e-01
5.003078562695841e-04	1.755469e-01
5.006596920062515e-04	2.252188e-01
5.013633634795865e-04	3.041007e-01
5.026411373435665e-04	4.067751e-01
5.038038475493800e-04	4.670425e-01
5.053637155935494e-04	5.150731e-01
5.069581617557055e-04	5.445899e-01
5.093450543397725e-04	5.700663e-01
5.121374674905936e-04	5.871634e-01
5.164800687211996e-04	6.015173e-01
5.219825566442626e-04	6.111812e-01
5.309446298860242e-04	6.191631e-01
5.504758798860242e-04	6.263850e-01
6.383665048860243e-04	6.325797e-01
1.500000000000000e-03	6.354492e-01
1.510000000000000e-03	6.354492e-01
9.558828124999839e-03	6.354492e-01
9.998281249999829e-03	6.354492e-01
1.000000000000000e-02	6.354492e-01
Step Information: Run=11  (Run: 11/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.948387672872780e-04	4.948882e-15
4.955203685666950e-04	9.122527e-05
4.956785460376541e-04	3.151894e-04
4.957585852941887e-04	6.853771e-04
4.958230775511477e-04	1.275317e-03
4.958908480349073e-04	2.295365e-03
4.959823594675841e-04	4.436889e-03
4.960949941216849e-04	8.522792e-03
4.962456561029851e-04	1.697610e-02
4.964369366621273e-04	3.356083e-02
4.967067132316459e-04	6.954169e-02
