time	V(out)
Step Information: Run=1  (Run: 1/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.939101509672719e-04	4.939595e-15
4.958710779018153e-04	9.179017e-04
4.963261299132081e-04	3.402027e-03
4.965494219653689e-04	7.697612e-03
4.967023281011131e-04	1.391680e-02
4.968654360949362e-04	2.508977e-02
4.970771648307469e-04	4.774571e-02
4.973450517240819e-04	9.211011e-02
4.976960108992595e-04	1.814850e-01
4.981686971877289e-04	3.549096e-01
4.987101883656193e-04	6.030143e-01
4.990860873272289e-04	7.769977e-01
4.994601967217225e-04	9.066658e-01
4.999019906222419e-04	9.934043e-01
5.000000000000000e-04	1.000000e+00
1.500000000000000e-03	1.000000e+00
1.510000000000000e-03	1.000000e+00
9.549062499999839e-03	9.999993e-01
9.998281249999829e-03	9.999993e-01
1.000000000000000e-02	9.999993e-01
Step Information: Run=2  (Run: 2/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.953751910402487e-04	7.345728e-06
4.954310275987008e-04	6.427489e-05
4.954564395067306e-04	1.210263e-04
4.954867655914413e-04	2.259647e-04
4.955278677764238e-04	4.469343e-04
4.955814516369710e-04	8.932166e-04
4.956443186162745e-04	1.710590e-03
4.957254669231688e-04	3.349816e-03
4.958240502003792e-04	6.443725e-03
4.959500592995870e-04	1.258027e-02
4.961053544785973e-04	2.432021e-02
4.963031915480434e-04	4.750617e-02
4.965512308502287e-04	9.250556e-02
4.968723559647282e-04	1.821199e-01
4.972985796965469e-04	3.559546e-01
4.978671468739854e-04	6.454279e-01
4.982008341706251e-04	8.095940e-01
4.985220625807616e-04	9.172738e-01
4.989088911193425e-04	9.841816e-01
4.989792235809027e-04	9.871483e-01
4.990730001963162e-04	9.904552e-01
4.992605534271434e-04	9.949644e-01
4.996356598887976e-04	9.997897e-01
4.996812024026979e-04	1.000000e+00
4.997722874304985e-04	1.000000e+00
4.999544574860997e-04	1.000000e+00
5.000000000000000e-04	1.000000e+00
5.000268366327279e-04	1.000000e+00
5.000805098981838e-04	1.000000e+00
5.001878564290954e-04	1.000000e+00
5.003834178197303e-04	1.000000e+00
5.006669803777313e-04	1.000000e+00
5.007392803695834e-04	1.000000e+00
5.007522022002008e-04	1.000000e+00
5.007994712625664e-04	1.000000e+00
5.008465396338080e-04	1.000000e+00
5.009406763762911e-04	1.000000e+00
5.009557229852860e-04	1.000000e+00
1.500000000000000e-03	1.000000e+00
1.510000000000000e-03	1.000000e+00
9.090078124999849e-03	1.000000e+00
9.998281249999829e-03	1.000000e+00
1.000000000000000e-02	1.000000e+00
Step Information: Run=3  (Run: 3/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.958711125599671e-04	4.959207e-15
4.963613500699617e-04	4.901452e-05
4.965986686603411e-04	2.086761e-04
4.966871013301151e-04	4.227780e-04
4.967479991912799e-04	7.495821e-04
4.968134661847059e-04	1.348933e-03
4.968937570755880e-04	2.510845e-03
4.969966714209293e-04	4.830893e-03
4.971226613506507e-04	9.256254e-03
4.972822352463680e-04	1.797138e-02
4.974802414821122e-04	3.476775e-02
4.977321604434793e-04	6.788825e-02
4.980514064856837e-04	1.327315e-01
4.984705533311581e-04	2.624907e-01
4.990592056843480e-04	5.018991e-01
4.991265424262737e-04	5.345782e-01
4.992612159101253e-04	6.061442e-01
4.995378978328622e-04	7.535512e-01
4.995819075630657e-04	7.760777e-01
4.996405872033373e-04	8.036988e-01
4.997579464838802e-04	8.506060e-01
4.998547557692013e-04	8.796438e-01
4.999313514993619e-04	8.943706e-01
5.000000000000000e-04	9.026780e-01
5.000209055119017e-04	9.035723e-01
5.000487795277706e-04	9.041960e-01
5.000901949423468e-04	9.045656e-01
5.001054856639856e-04	9.045991e-01
5.001131477867851e-04	9.045991e-01
5.001151199896422e-04	9.045991e-01
5.001170331750152e-04	9.045991e-01
5.001412453116565e-04	9.045991e-01
5.001653758502148e-04	9.045991e-01
5.002136369273314e-04	9.045991e-01
5.002958653643677e-04	9.045991e-01
5.003205129969203e-04	9.045991e-01
